,Industry,Intercept,Mkt_minus_RF,Adj_SMB,Adj_HML,RMW,CMA,MOM,R^2,Adj_R^2,Residual_mean,Residual_std
0,NoDur,0.11297935981540824,0.8287092197840127,-0.028648502410846502,-0.09312595268647689,0.5488228405171162,0.3296197340380217,0.012471412712736205,0.719592520599149,0.7156889361991372,7.3000966002750015e-16,1.4663761612219337
1,Durbl,0.2494705262710789,1.2796012620404544,0.34242572306373464,0.13942787544115282,0.13903437908247515,0.10929414093389425,-0.3340778995856421,0.6321544446153353,0.6270336248187971,9.611793857028753e-16,2.2223457142706007
2,Manuf,0.15459205264813392,1.1519249498069126,0.23121699389945477,0.11138077016362462,0.2333188915279797,0.2453337641983098,-0.06692272416545436,0.8812014041000569,0.8795475953404289,8.516779366987502e-16,1.3835083413770155
3,Enrgy,0.06418430466322951,0.9705959473705074,0.120196814142491,0.5394852517625766,0.16207539272908983,0.825895797458645,0.028569128480640877,0.4886113764622084,0.48149227729462896,5.596740726877501e-16,2.1483505395155715
4,Chems,0.029101218425148637,0.9396309333796914,0.008541617991623174,-0.04541382381184248,0.4716960045396613,0.34254476371668086,-0.017597860425696225,0.7490657832289889,0.7455724994688355,7.543433153617502e-16,1.510964161381712
5,BusEq,0.7950824093892613,1.1173745887697815,0.01852531709299041,-0.43138344766349684,-0.4974004496965908,-0.7349843955427671,-0.08313943931125266,0.8568281034963227,0.8548349912480115,6.651199124695001e-16,1.609179905940244
6,Telcm,0.08027053107335722,0.9380569100121461,-0.2533807682643269,-0.016647573693779717,-0.05234271662795746,0.27536568087091984,-0.06633670509554984,0.6570182040428787,0.6522435154680696,5.677852911325001e-16,1.7373373952851399
7,Utils,0.13587621454824236,0.5794400842974486,-0.1889024338658429,0.13210329403891813,0.2999562470175397,0.5387647879758479,0.08192720911996701,0.3650662905278793,0.356227306173279,4.9072871590737515e-16,1.7869132668901984
8,Shops,0.2707965759824639,0.9664801725524338,0.1618482644683125,-0.1267643313513715,0.36514496416688896,-0.16092733901181236,-0.023820510290615757,0.7953068431039051,0.7924572863953747,8.435667182540002e-16,1.4947602404134557
9,Hlth,0.33640666748878734,0.8409340146571174,-0.12622620285769118,-0.320330098946737,0.18259190176502563,0.1257506057202117,0.06803310471526958,0.5958622903858659,0.590236243384277,6.813423493590001e-16,1.703266873182716
10,Money,0.05419354927592788,1.0809727464845522,-0.10149928489474994,0.7787585868462924,0.1886296018680148,0.37709184958439346,-0.042181271143565555,0.8689177600355052,0.8670929492703383,7.3000966002750015e-16,1.4298054835455676
11,Other,-0.01804329142133922,1.0701633960515713,0.18828477766334523,0.10945784321361807,0.07603097222760048,0.14857906276044247,-0.038319551796664394,0.8956785814788805,0.8942263111514402,5.840077280220001e-16,1.2938663526816647
