Industry,Three_factor_model,Five_factor_model,Adjusted_five_factor_model
NoDur,0.429265013780006,0.10303983724134828,0.11297935981540824
Durbl,0.2939981659319438,0.18127361856479324,0.2494705262710789
Manuf,0.2800459124677045,0.11185328541820257,0.15459205264813392
Enrgy,0.2498632392235392,0.13445828626247902,0.06418430466322951
Chems,0.30848129145335945,0.018010098821236158,0.029101218425148637
BusEq,0.4708240146358993,0.7070942204373197,0.7950824093892613
Telcm,0.14077399790046224,0.14735075815899226,0.08027053107335722
Utils,0.3805643860019028,0.2136413582547801,0.13587621454824236
Shops,0.3891896318689366,0.20156053952914602,0.2707965759824639
Hlth,0.48848585455823795,0.3098951772862253,0.33640666748878734
Money,0.12954016640703744,0.2319110106803765,0.05419354927592788
Other,0.022912077114738007,0.04924372158753232,0.01804329142133922
Mean,0.2986619792786473,0.20077765935353598,0.19174972508353158
Mean_except_BusEq,0.2843151429988762,0.158584612596554,0.1414720013913874
